,Tweets,Sentiment
0,akasaair harassed bangalore airport today group staff 10 passengers complaining ridicule faced cia officer comes heavy face helplessness team untrained shrewd arrogant staff hospitality ever worstairlinestaff,Negetive
1,experience airport staff pleasantwas overwhelmed happiness assistance hospitality indigo6e staff dhanalakshmi bangalore airport wonderful flight,Positive
2,indigo6e front desk girl power margret bangalore airport checkin gate thank much kind gesture today appreciate help also indigo airlines hospitality cheers indigo,Positive
3,blrairport would like thanks mr manjunath team wonderful hospitality bangalore airport team polite service oriented basically customer centric pandemic efforts mind blowing keep guys,Positive
4,blrairport bangalore airport lounge ambience hospitality quite good food equally tasty wide stretch including live counters liquors also served payment basis spending time 1 hr extra airport,Positive
5,blrairport short sweet story bangalore airport bored journy turnd journey lot smiles begin hot coffee morning good hospitality uday friend hyd cute wishes nishma bright girl continued good food,Positive
6,shitty experience etihadairways disgusting attitude personnel checking us bangalore airport flight ey 237 idiot named lamhang singh something behaved rudely service utterly disappointing hospitality anymore 12,Negetive
7,worst experience travelling airvistara bangalore airport extremely rude staff remind business hospitality railway station people harrassed like even,Negetive
8,flight noi5 472 17th sep 2023 mumbai bangalore delayed 2 hours airport authorities sense providing hospitality passengers waiting period authorities sure departure time hour even,Positive
9,blrairport bangalore airport lounge ambience hospitality quite good food equally tasty wide stretch including live counters liquors also served payment basis spending time 1 hr extra airport,Positive
