,Tweets,Sentiment
0,recently scammed  airasia bangalore airport india told us visa wasnt valid wasted 15 hours us 85k loss going refund wasted time money need solution asap,Negetive
1, canada leverage 5 eyes country lot prime real estate india owned canadian funds including bangalore airport issuance visas,Positive
2, coral card visa platinum international card accepted terminal 2 bangalore airport lounge access,Neutral
3, many many passengers facing inconvenience  checkin counter visa arrival process boarding flights bangalore airport come understanding based experiences friends traveled via etihad airlines,Positive
4,good experience flights bad experience airvistara staff bangalore airport checkin counters check counter staff couldnt verify visa asked book return tickets checkin,Positive
5,good experience flights bad experience airvistara staff bangalore airport checkin counters checkin counter staff couldnt verify visa asked book return tickets checkin,Positive
6, travelling choice difficult days visas easy tickets cheap daily flights available bangalore airport footfall remarkable,Positive
7, access lounge bangalore airport using hsbc visa platinum credit card website says get 3 complimentary lounge access,Positive
8,sir bad experience bangalore airport morning friends sonuk citizenwas visiting us holiday evisa denied entry saying paper visa allowedwas sent please reinstate e visa precise policies regards,Negetive
9, blrairport bizarre rulelots issues visasflights etc bangalore airport,Positive
10, worst pathetic service bangalore airport allowed board flight uae even though us valid visa man charge girishkumar absolutely useless asked wait 40mins end allow board customerexperience,Negetive
11, worst pathetic service bangalore airport allowed board flight uae even though us valid visa man charge girishkumar absolutely useless asked wait 40mins end allow board customerservice,Negetive
12, sorry figure mumbai bangalore airport lounges denied access kotak royale visa signature card reason kotak tie ups lounge kotak website claims tieups lounges lounges claim otherwise,Negetive
13,bangalore airport staff needs educated schengen country issues visa traveller transits germany need german host invitation etc moreover even business revalidate docs ministry issued visa,Neutral
14,went checkin security visa check 35 minutes bangalore airport dublinairport might want call exchange ideas airport 1st world country works way worse,Negetive
15,office stuck bangalore airport visa issue anyway reach help stuck help borderforceuk,Neutral
16,cryptovegetor blrairport yeah cousin denied free entry visa card though visa lists bangalore airport free lounge access list wondering anyone check advance,Positive
17, waiting bangalore airport domestic longue staff says visa cards working since 2 today 15th feb 2022,Neutral
18, well ba staff bangalore airport following ukgov exemptions bas iata recommendations transit visas still stubbornly claiming theres exemptions dont need look,Neutral
19, respected honourable minister iam travelling 281221 frankfurt bangalore return journey germany tourist visai understand bangalore airport lot harassment going like delay rtpcr reports collecting charges,Neutral
20, travelling e visa dubai 22 october 0130 pm bangalore airport assist covid test requirements,Neutral
21,airindiain hi need clarification indians valid us visa eligible visa arrival dubai right confusion bangalore airport friend trying board,Positive
22,blrcitypolice indian citizen currently residing usai planning travel bangalore end june visa getting expiredi fully vaccinated residence shimogacan travel bangalore airport shimoga residence day cab,Neutral
23,meaindia sir urgent please guide us problem bangalore airport immigration today officer allow children board emirates flight transit visa dubai waiting time dubai 4 hours flying dhaka via dubai,Neutral
24, airindiain meaindia india student stranded bangalore holding new family visa bahrain parents residing bahrain please arrange flight bahrain bangalore airport,Positive
25, sir requesting support please tomorrow night international flight bengaluru paris required visa husband working europe request support move hosur border bangalore airport,Neutral
26, dear sir kindly help us lost job visa canceled 21st march stay registration select bangalore airport unfortunately far flight karnataka bangalore kindly avoid please 0508607525,Positive
27,indianembriyadh meaindia dear embassy india send wife back india 7 months pregnant visit visa visa going get expire please arrange flight dammam airport bangalore airport kindly treat urgent indianembriyadh,Positive
28,schrodie_twts usually use transit visa visiting purposes bangalore airport,Negetive
29,omanair urgent help needed passenger bangalore airport copr permanent resident visa canada staff letting board please help,Neutral
30,emirates sistera h4 visa holder denied board flight bangalore airport today saying usa travel ban hasnt travelled outside india last 1 month care share resource citing travel ban indian passport holders usandindia meaindia,Neutral
31,im stranded bangalore airport ive refused entry india china 28 days ago twenty fucking eight days ago reasonable visa policy beyond absolutely want die,Negetive
